 frequency       db(v(Vout))     cph(v(Vout))*360/2/pi
 3.98107171e+08 -4.11527321e+01 -1.88141203e+02 
 4.46683592e+08 -4.26370877e+01 -2.03406040e+02 
 5.01187234e+08 -4.41073038e+01 -2.21323175e+02 
 5.62341325e+08 -4.54830338e+01 -2.41861493e+02 
 6.30957344e+08 -4.66861220e+01 -2.64321992e+02 
 7.07945784e+08 -4.77100818e+01 -2.87263432e+02 
 7.94328235e+08 -4.86592782e+01 -3.08947099e+02 
 8.91250938e+08 -4.96934175e+01 -3.27901526e+02 
 1.00000000e+09 -5.09314446e+01 -3.43068092e+02 
 1.12201845e+09 -5.23921586e+01 -3.53622940e+02 
 1.25892541e+09 -5.39644841e+01 -3.58860423e+02 
 1.41253754e+09 -5.53815288e+01 -3.58516630e+02 
 1.58489319e+09 -5.62786230e+01 -3.53733874e+02 
 1.77827941e+09 -5.64601800e+01 -3.47431667e+02 
 1.99526231e+09 -5.60912686e+01 -3.42397568e+02 
 2.23872114e+09 -5.54817274e+01 -3.39562388e+02 
 2.51188643e+09 -5.48445761e+01 -3.38569027e+02 
 2.81838293e+09 -5.42723183e+01 -3.38784833e+02 
 3.16227766e+09 -5.37904489e+01 -3.39703195e+02 
 3.54813389e+09 -5.33967117e+01 -3.40989230e+02 
 3.98107171e+09 -5.30796984e+01 -3.42436393e+02 
 4.46683592e+09 -5.28263494e+01 -3.43921380e+02 
 5.01187234e+09 -5.26246419e+01 -3.45372554e+02 
 5.62341325e+09 -5.24643510e+01 -3.46749945e+02 
 6.30957344e+09 -5.23370850e+01 -3.48032937e+02 
 7.07945784e+09 -5.22360749e+01 -3.49212696e+02 
 7.94328235e+09 -5.21559090e+01 -3.50287499e+02 
 8.91250938e+09 -5.20922797e+01 -3.51259815e+02 
 1.00000000e+10 -5.20417659e+01 -3.52134485e+02 
 1.12201845e+10 -5.20016530e+01 -3.52917563e+02 
 1.25892541e+10 -5.19697872e+01 -3.53615598e+02 
 1.41253754e+10 -5.19444597e+01 -3.54235181e+02 
 1.58489319e+10 -5.19243137e+01 -3.54782671e+02 
 1.77827941e+10 -5.19082709e+01 -3.55264029e+02 
 1.99526231e+10 -5.18954737e+01 -3.55684729e+02 
 2.23872114e+10 -5.18852383e+01 -3.56049713e+02 
 2.51188643e+10 -5.18770181e+01 -3.56363373e+02 
 2.81838293e+10 -5.18703746e+01 -3.56629557e+02 
 3.16227766e+10 -5.18649533e+01 -3.56851578e+02 
 3.54813389e+10 -5.18604654e+01 -3.57032230e+02 
 3.98107171e+10 -5.18566715e+01 -3.57173811e+02 
 4.46683592e+10 -5.18533696e+01 -3.57278134e+02 
 5.01187234e+10 -5.18503841e+01 -3.57346550e+02 
 5.62341325e+10 -5.18475560e+01 -3.57379958e+02 
 6.30957344e+10 -5.18447353e+01 -3.57378818e+02 
 7.07945784e+10 -5.18417725e+01 -3.57343155e+02 
 7.94328235e+10 -5.18385109e+01 -3.57272570e+02 
 8.91250938e+10 -5.18347786e+01 -3.57166237e+02 
 1.00000000e+11 -5.18303800e+01 -3.57022911e+02 
 1.12201845e+11 -5.18250853e+01 -3.56840928e+02 
 1.25892541e+11 -5.18186199e+01 -3.56618208e+02 
 1.41253754e+11 -5.18106511e+01 -3.56352272e+02 
 1.58489319e+11 -5.18007726e+01 -3.56040257e+02 
 1.77827941e+11 -5.17884870e+01 -3.55678956e+02 
 1.99526231e+11 -5.17731847e+01 -3.55264877e+02 
 2.23872114e+11 -5.17541207e+01 -3.54794335e+02 
 2.51188643e+11 -5.17303888e+01 -3.54263592e+02 
 2.81838293e+11 -5.17008941e+01 -3.53669053e+02 
 3.16227766e+11 -5.16643269e+01 -3.53007547e+02 
 3.54813389e+11 -5.16191393e+01 -3.52276696e+02 
 3.98107171e+11 -5.15635327e+01 -3.51475400e+02 
 4.46683592e+11 -5.14954605e+01 -3.50604438e+02 
 5.01187234e+11 -5.14126577e+01 -3.49667169e+02 
 5.62341325e+11 -5.13127079e+01 -3.48670299e+02 
 6.30957344e+11 -5.11931583e+01 -3.47624628e+02 
 7.07945784e+11 -5.10516904e+01 -3.46545640e+02 
 7.94328235e+11 -5.08863438e+01 -3.45453754e+02 
 8.91250938e+11 -5.06957770e+01 -3.44374043e+02 
 1.00000000e+12 -5.04795305e+01 -3.43335248e+02 
