 v-sweep         v(V1)           v(V2)           v(Vout)        
 1.94000000e-01  1.94000000e-01  0.00000000e+00  6.91840511e-01 
 1.95000000e-01  1.95000000e-01  0.00000000e+00  6.91870163e-01 
 1.96000000e-01  1.96000000e-01  0.00000000e+00  6.91900427e-01 
 1.97000000e-01  1.97000000e-01  0.00000000e+00  6.91932336e-01 
 1.98000000e-01  1.98000000e-01  0.00000000e+00  6.91964415e-01 
 1.99000000e-01  1.99000000e-01  0.00000000e+00  6.91996864e-01 
 2.00000000e-01  2.00000000e-01  0.00000000e+00  6.92031047e-01 
 2.01000000e-01  2.01000000e-01  0.00000000e+00  6.92066318e-01 
 2.02000000e-01  2.02000000e-01  0.00000000e+00  6.92101687e-01 
 2.03000000e-01  2.03000000e-01  0.00000000e+00  6.92138426e-01 
 2.04000000e-01  2.04000000e-01  0.00000000e+00  6.92176350e-01 
 2.05000000e-01  2.05000000e-01  0.00000000e+00  6.92215011e-01 
 2.06000000e-01  2.06000000e-01  0.00000000e+00  6.92254687e-01 
 2.07000000e-01  2.07000000e-01  0.00000000e+00  6.92295423e-01 
 2.08000000e-01  2.08000000e-01  0.00000000e+00  6.92337701e-01 
 2.09000000e-01  2.09000000e-01  0.00000000e+00  6.92380850e-01 
 2.10000000e-01  2.10000000e-01  0.00000000e+00  6.92424824e-01 
 2.11000000e-01  2.11000000e-01  0.00000000e+00  6.92470529e-01 
 2.12000000e-01  2.12000000e-01  0.00000000e+00  6.92517188e-01 
 2.13000000e-01  2.13000000e-01  0.00000000e+00  6.92564937e-01 
 2.14000000e-01  2.14000000e-01  0.00000000e+00  6.92614398e-01 
 2.15000000e-01  2.15000000e-01  0.00000000e+00  6.92665488e-01 
 2.16000000e-01  2.16000000e-01  0.00000000e+00  6.92717164e-01 
 2.17000000e-01  2.17000000e-01  0.00000000e+00  6.92770305e-01 
 2.18000000e-01  2.18000000e-01  0.00000000e+00  6.92824831e-01 
 2.19000000e-01  2.19000000e-01  0.00000000e+00  6.92881629e-01 
 2.20000000e-01  2.20000000e-01  0.00000000e+00  6.92939025e-01 
 2.21000000e-01  2.21000000e-01  0.00000000e+00  6.92998771e-01 
 2.22000000e-01  2.22000000e-01  0.00000000e+00  6.93059975e-01 
 2.23000000e-01  2.23000000e-01  0.00000000e+00  6.93122306e-01 
 2.24000000e-01  2.24000000e-01  0.00000000e+00  6.93186871e-01 
 2.25000000e-01  2.25000000e-01  0.00000000e+00  6.93251981e-01 
 2.26000000e-01  2.26000000e-01  0.00000000e+00  6.93320214e-01 
 2.27000000e-01  2.27000000e-01  0.00000000e+00  6.93390264e-01 
 2.28000000e-01  2.28000000e-01  0.00000000e+00  6.93461662e-01 
 2.29000000e-01  2.29000000e-01  0.00000000e+00  6.93535392e-01 
 2.30000000e-01  2.30000000e-01  0.00000000e+00  6.93610638e-01 
 2.31000000e-01  2.31000000e-01  0.00000000e+00  6.93688294e-01 
 2.32000000e-01  2.32000000e-01  0.00000000e+00  6.93767816e-01 
 2.33000000e-01  2.33000000e-01  0.00000000e+00  6.93849676e-01 
 2.34000000e-01  2.34000000e-01  0.00000000e+00  6.93933581e-01 
 2.35000000e-01  2.35000000e-01  0.00000000e+00  6.94019923e-01 
 2.36000000e-01  2.36000000e-01  0.00000000e+00  6.94108391e-01 
 2.37000000e-01  2.37000000e-01  0.00000000e+00  6.94199013e-01 
 2.38000000e-01  2.38000000e-01  0.00000000e+00  6.94292580e-01 
 2.39000000e-01  2.39000000e-01  0.00000000e+00  6.94388864e-01 
 2.40000000e-01  2.40000000e-01  0.00000000e+00  6.94486745e-01 
 2.41000000e-01  2.41000000e-01  0.00000000e+00  6.94588227e-01 
 2.42000000e-01  2.42000000e-01  0.00000000e+00  6.94692184e-01 
 2.43000000e-01  2.43000000e-01  0.00000000e+00  6.94799076e-01 
 2.44000000e-01  2.44000000e-01  0.00000000e+00  6.94907974e-01 
 2.45000000e-01  2.45000000e-01  0.00000000e+00  6.95021050e-01 
 2.46000000e-01  2.46000000e-01  0.00000000e+00  6.95136396e-01 
 2.47000000e-01  2.47000000e-01  0.00000000e+00  6.95254850e-01 
 2.48000000e-01  2.48000000e-01  0.00000000e+00  6.95377106e-01 
 2.49000000e-01  2.49000000e-01  0.00000000e+00  6.95502314e-01 
 2.50000000e-01  2.50000000e-01  0.00000000e+00  6.95630994e-01 
 2.51000000e-01  2.51000000e-01  0.00000000e+00  6.95762703e-01 
 2.52000000e-01  2.52000000e-01  0.00000000e+00  6.95897686e-01 
 2.53000000e-01  2.53000000e-01  0.00000000e+00  6.96037560e-01 
 2.54000000e-01  2.54000000e-01  0.00000000e+00  6.96180703e-01 
 2.55000000e-01  2.55000000e-01  0.00000000e+00  6.96327382e-01 
 2.56000000e-01  2.56000000e-01  0.00000000e+00  6.96478143e-01 
 2.57000000e-01  2.57000000e-01  0.00000000e+00  6.96633027e-01 
 2.58000000e-01  2.58000000e-01  0.00000000e+00  6.96791818e-01 
 2.59000000e-01  2.59000000e-01  0.00000000e+00  6.96955340e-01 
 2.60000000e-01  2.60000000e-01  0.00000000e+00  6.97123495e-01 
 2.61000000e-01  2.61000000e-01  0.00000000e+00  6.97295204e-01 
 2.62000000e-01  2.62000000e-01  0.00000000e+00  6.97471920e-01 
 2.63000000e-01  2.63000000e-01  0.00000000e+00  6.97653367e-01 
 2.64000000e-01  2.64000000e-01  0.00000000e+00  6.97840395e-01 
 2.65000000e-01  2.65000000e-01  0.00000000e+00  6.98031905e-01 
 2.66000000e-01  2.66000000e-01  0.00000000e+00  6.98228640e-01 
 2.67000000e-01  2.67000000e-01  0.00000000e+00  6.98430303e-01 
 2.68000000e-01  2.68000000e-01  0.00000000e+00  6.98638572e-01 
 2.69000000e-01  2.69000000e-01  0.00000000e+00  6.98851209e-01 
 2.70000000e-01  2.70000000e-01  0.00000000e+00  6.99069699e-01 
 2.71000000e-01  2.71000000e-01  0.00000000e+00  6.99294638e-01 
 2.72000000e-01  2.72000000e-01  0.00000000e+00  6.99525482e-01 
