 frequency       db(v(Vout))     cph(v(Vout))*360/2/pi
 1.12201845e+08 -1.81389226e+01 -1.03604587e+02 
 1.25892541e+08 -1.91876466e+01 -1.07030845e+02 
 1.41253754e+08 -2.02579320e+01 -1.10732862e+02 
 1.58489319e+08 -2.13555579e+01 -1.14774939e+02 
 1.77827941e+08 -2.24886321e+01 -1.19229479e+02 
 1.99526231e+08 -2.36682303e+01 -1.24178830e+02 
 2.23872114e+08 -2.49093539e+01 -1.29718363e+02 
 2.51188643e+08 -2.62324647e+01 -1.35960772e+02 
 2.81838293e+08 -2.76658829e+01 -1.43040881e+02 
 3.16227766e+08 -2.92492903e+01 -1.51120123e+02 
 3.54813389e+08 -3.10384912e+01 -1.60390669e+02 
 3.98107171e+08 -3.31112510e+01 -1.71083138e+02 
 4.46683592e+08 -3.55731333e+01 -1.83496439e+02 
 5.01187234e+08 -3.85598813e+01 -1.98114751e+02 
 5.62341325e+08 -4.22225848e+01 -2.16005213e+02 
 6.30957344e+08 -4.66126513e+01 -2.39939671e+02 
 7.07945784e+08 -5.10256908e+01 -2.75453990e+02 
 7.94328235e+08 -5.30782951e+01 -3.18878825e+02 
 8.91250938e+08 -5.28411177e+01 -3.49308135e+02 
 1.00000000e+09 -5.24861922e+01 -3.64744462e+02 
 1.12201845e+09 -5.24739694e+01 -3.71164232e+02 
 1.25892541e+09 -5.26021867e+01 -3.72055885e+02 
 1.41253754e+09 -5.26390737e+01 -3.69726871e+02 
 1.58489319e+09 -5.24759082e+01 -3.66103893e+02 
 1.77827941e+09 -5.21362176e+01 -3.62568261e+02 
 1.99526231e+09 -5.17045655e+01 -3.59779577e+02 
 2.23872114e+09 -5.12584379e+01 -3.57855361e+02 
 2.51188643e+09 -5.08445150e+01 -3.56663308e+02 
 2.81838293e+09 -5.04830280e+01 -3.56012741e+02 
 3.16227766e+09 -5.01782905e+01 -3.55734047e+02 
 3.54813389e+09 -4.99267953e+01 -3.55698156e+02 
 3.98107171e+09 -4.97219456e+01 -3.55813558e+02 
 4.46683592e+09 -4.95564671e+01 -3.56017744e+02 
 5.01187234e+09 -4.94235043e+01 -3.56269006e+02 
 5.62341325e+09 -4.93170411e+01 -3.56540025e+02 
 6.30957344e+09 -4.92319942e+01 -3.56813256e+02 
 7.07945784e+09 -4.91641614e+01 -3.57077723e+02 
 7.94328235e+09 -4.91101153e+01 -3.57326822e+02 
 8.91250938e+09 -4.90670838e+01 -3.57556834e+02 
 1.00000000e+10 -4.90328367e+01 -3.57765918e+02 
 1.12201845e+10 -4.90055863e+01 -3.57953429e+02 
 1.25892541e+10 -4.89839030e+01 -3.58119463e+02 
 1.41253754e+10 -4.89666449e+01 -3.58264545e+02 
 1.58489319e+10 -4.89529007e+01 -3.58389421e+02 
 1.77827941e+10 -4.89419433e+01 -3.58494918e+02 
 1.99526231e+10 -4.89331921e+01 -3.58581852e+02 
 2.23872114e+10 -4.89261827e+01 -3.58650966e+02 
 2.51188643e+10 -4.89205431e+01 -3.58702887e+02 
 2.81838293e+10 -4.89159737e+01 -3.58738103e+02 
 3.16227766e+10 -4.89122315e+01 -3.58756938e+02 
 3.54813389e+10 -4.89091175e+01 -3.58759546e+02 
 3.98107171e+10 -4.89064662e+01 -3.58745897e+02 
 4.46683592e+10 -4.89041366e+01 -3.58715769e+02 
 5.01187234e+10 -4.89020047e+01 -3.58668743e+02 
 5.62341325e+10 -4.88999573e+01 -3.58604190e+02 
 6.30957344e+10 -4.88978857e+01 -3.58521269e+02 
 7.07945784e+10 -4.88956800e+01 -3.58418909e+02 
 7.94328235e+10 -4.88932237e+01 -3.58295807e+02 
 8.91250938e+10 -4.88903872e+01 -3.58150411e+02 
 1.00000000e+11 -4.88870214e+01 -3.57980912e+02 
 1.12201845e+11 -4.88829501e+01 -3.57785233e+02 
 1.25892541e+11 -4.88779615e+01 -3.57561022e+02 
 1.41253754e+11 -4.88717977e+01 -3.57305649e+02 
 1.58489319e+11 -4.88641427e+01 -3.57016209e+02 
 1.77827941e+11 -4.88546080e+01 -3.56689542e+02 
 1.99526231e+11 -4.88427161e+01 -3.56322262e+02 
 2.23872114e+11 -4.88278811e+01 -3.55910821e+02 
 2.51188643e+11 -4.88093868e+01 -3.55451594e+02 
 2.81838293e+11 -4.87863634e+01 -3.54941025e+02 
 3.16227766e+11 -4.87577628e+01 -3.54375828e+02 
 3.54813389e+11 -4.87223363e+01 -3.53753259e+02 
 3.98107171e+11 -4.86786167e+01 -3.53071492e+02 
 4.46683592e+11 -4.86249115e+01 -3.52330093e+02 
 5.01187234e+11 -4.85593145e+01 -3.51530598e+02 
 5.62341325e+11 -4.84797443e+01 -3.50677179e+02 
 6.30957344e+11 -4.83840221e+01 -3.49777345e+02 
 7.07945784e+11 -4.82699962e+01 -3.48842584e+02 
 7.94328235e+11 -4.81357189e+01 -3.47888802e+02 
 8.91250938e+11 -4.79796699e+01 -3.46936391e+02 
 1.00000000e+12 -4.78010050e+01 -3.46009720e+02 
